OBJECTID,Length,WFPI_Cm_20210701,WFPI_Cm_20210702,WFPI_Cm_20210703,WFPI_Cm_20210704,WFPI_Cm_20210705,WFPI_Cm_20210706,WFPI_Cm_20210707,WFPI_Cm_20210708,WFPI_Cm_20210709,WFPI_Cm_20210710,WFPI_Cm_20210711,WFPI_Cm_20210712,WFPI_Cm_20210713,WFPI_Cm_20210714,WFPI_Cm_20210715,WFPI_Cm_20210716,WFPI_Cm_20210717,WFPI_Cm_20210718,WFPI_Cm_20210719,WFPI_Cm_20210720,WFPI_Cm_20210721,WFPI_Cm_20210722,WFPI_Cm_20210723,WFPI_Cm_20210724,WFPI_Cm_20210725,WFPI_Cm_20210726,WFPI_Cm_20210727,WFPI_Cm_20210728,WFPI_Cm_20210729,WFPI_Cm_20210730,WFPI_Cm_20210731,WFPI_Cm_20210801,WFPI_Cm_20210802,WFPI_Cm_20210803,WFPI_Cm_20210804,WFPI_Cm_20210805,WFPI_Cm_20210806,WFPI_Cm_20210807,WFPI_Cm_20210808,WFPI_Cm_20210809,WFPI_Cm_20210810,WFPI_Cm_20210811,WFPI_Cm_20210812,WFPI_Cm_20210813,WFPI_Cm_20210814,WFPI_Cm_20210815,WFPI_Cm_20210816,WFPI_Cm_20210817,WFPI_Cm_20210818,WFPI_Cm_20210819,WFPI_Cm_20210820,WFPI_Cm_20210821,WFPI_Cm_20210822,WFPI_Cm_20210823,WFPI_Cm_20210824,WFPI_Cm_20210825,WFPI_Cm_20210826,WFPI_Cm_20210827,WFPI_Cm_20210828,WFPI_Cm_20210829,WFPI_Cm_20210830,WFPI_Cm_20210831
1,2.70696312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.35412078,770.2528559662755,810.0381337478595,736.1229372860986,645.9482879338277,835.5035945579941,992.5478379370849,914.1919136960335,803.0547793063338,881.8441700495636,943.0698442225212,930.629757192642,811.5061261173703,846.9123554887335,858.9187277071585,846.9123554887335,823.5040107300534,690.820534201007,738.1950247020054,568.9589466172765,617.9362154065791,756.2366049348141,9.474187934751761,789.797994378943,418.80364893099465,9.474187934751761,529.8940819916174,663.3516952707834,816.877228516643,820.6745075153434,220.03367225521367,490.27270782046025,738.9933117554293,748.3528964648584,830.178143620309,861.2947142871814,770.7149345372112,771.9394899530394,777.8189468340795,769.6768197351382,639.2111058531254,207.75476756743086,9.474187934751761,206.8481318904827,406.82827291329863,551.3076680178249,462.4615335735721,653.233135042947,707.782089456302,734.5576942128109,680.3981105866226,754.9998455852674,882.4260678570153,907.9315846490115,846.8090375818014,770.108083778986,772.1835144518226,805.9322321672105,787.400893246775,794.5132057341283,674.4177929259295,665.2657129333635,343.74644406590636
3,6.347760286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6.349033644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.350306296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.351578394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6.352849902,138.5296247725529,146.3370492346957,133.81873413554112,121.56485630279303,151.221916395183,180.48932836844986,165.52857437323235,145.8569091203842,155.93281711978332,169.75932262112426,168.62509865482488,132.42707733703767,138.2722137975483,141.1947820278036,138.27222465624226,135.34964556729298,110.48696052156018,120.562857987929,79.12502564751196,116.15108670351952,139.35768668155802,1.788343804483874,142.93434089012888,86.66799968971259,1.788343804483874,87.84396311962597,125.05102870350868,149.6075292374161,140.53364031857114,40.65150147397205,89.24265655855996,135.3008819741259,134.9529703656291,151.04796059093462,148.60552146440696,137.8755287720088,139.18372077309698,139.1837308773096,136.74130261288528,104.85818844738039,28.96138936578336,1.788343804483874,44.84085838820298,71.35980793233428,96.39598554758462,81.08788624802796,107.47388281021405,117.06963938775658,112.7066587769639,111.70465115129895,124.22296784935534,146.3370598663343,149.91372436084663,142.76039537182197,129.58797362386062,133.81873413554112,136.74130261288528,135.60706638279729,133.81873413554112,113.01284318563532,101.49651800785693,53.9978790261818
8,4.730480231,363.34542572121416,369.7074754385719,358.25505861584963,355.75416005641193,433.9854650332495,461.8910792813571,452.9840581569138,419.9889849050147,439.0313424962919,439.0313424962919,452.9840581569138,461.4537049024129,483.1287613498296,479.2676251018273,469.0881203202515,493.3082661314055,474.17907118920635,461.4098225446447,447.4129459993036,436.61942267341834,450.61611910167017,336.0576855104905,454.4334701009585,410.07741810592404,333.5130428655621,391.82453363323907,399.41550065723686,434.9560758020631,434.9560758020631,386.7786499068201,384.19102550278893,396.91429352054627,386.4662274006089,386.4662274006089,405.5087029485379,415.6443402988875,399.14665323118015,405.5087029485379,394.05689334387296,338.55356992518625,262.51492310966296,2.500919931054693,189.1082022618368,324.6009720217269,309.3754570269076,296.738913620601,405.99196282475987,421.21712140583645,425.03428293344103,393.311467420351,393.311467420351,435.16990529075224,440.21577525727537,491.9943596488912,483.0873385244479,461.4118258373881,477.9984163174754,494.53914812911273,480.5422491607105,438.4642333403249,443.9060437449541,370.3681221957967
9,6.346486377,452.5190650093506,427.31526167335744,404.48665196679934,419.0650080411799,414.520125704992,455.60408661657954,438.68480436682836,390.65269296454585,399.40840604402456,418.48431552165954,415.79346055522853,379.39918002601075,393.15460039334863,411.0442536871879,408.50082391769723,403.1791553406441,370.26034656638643,365.3247764496499,337.87411874680953,343.3847869847269,382.6607830060282,237.57700990852214,371.74786873504854,324.7743471925546,234.87615522503637,296.86559368682043,311.8956082890278,361.6694335820085,344.7492691492286,308.1645140710394,310.70697768227814,341.08201685729387,361.50687172045434,366.2978462216051,393.2459410273463,372.6568093099482,378.8672820582117,361.3583864604173,376.62050448251586,341.45732159409476,204.68758967572475,5.087313461892373,163.46665109003825,304.9595292798718,293.80917173571345,282.51098708754864,378.20449748271477,395.124490430626,397.66795163321035,363.1801828826768,364.30357167052466,425.35083503244283,420.263317337431,407.4855339605027,393.1988656698025,381.90042516710963,378.08528290498094,394.61962727922696,393.1988656698025,349.86767556085385,357.49678022735947,254.9813285781462
10,7.214731962,266.94093261285013,273.5275261592826,250.0481586947222,190.34153259347414,279.1965628458893,330.79225210175446,305.5433157483081,274.13364984420093,316.52109789792513,319.1426508744614,313.22784846429516,276.4434964632556,290.714622725675,292.9102170272674,289.616872914465,281.50640946494383,227.96101425162817,251.86631244972267,211.0683350126724,195.15915326746446,257.7326914107092,3.293228286356535,270.90606786191864,134.35525075086804,3.293228286356535,170.77936580302526,219.57357608201983,260.9289138344719,258.7334142120519,70.99560703955088,164.86449665509645,236.95785350585732,250.57131966672347,278.62191812386084,297.7101357815892,265.69421271703874,256.4861888146522,252.7669139683158,258.0099640385687,229.12445945559577,27.44383990671979,18.661841417039746,55.98659294600793,149.72387072839035,190.7679926056896,169.4842194427215,192.4725071461388,206.7436613499681,215.28008347443316,199.73101444941946,221.44084096650383,259.19148525547575,269.0715175938828,314.57128640635955,310.18012574458476,291.94380835027715,298.1045658423478,273.412940153008,290.42012780553307,244.7393744353591,255.04550977917785,96.35889662115616
